"pathway"	"2"	"3"	"1"
"M1"	0.807733647705551	0.412123661723829	-0.740407775548967
"M2"	-0.417121229058621	0.36138439166277	0.322261594111794
"M3"	0.207475977887849	0.238387462921389	-0.171168543414516
"M4"	-0.746981593781071	-0.44830331205791	0.747571022254483
"M5"	0.320119985757536	-0.208680281724631	-0.149969540327016
"M6"	-0.824126659515305	-0.532757502969891	0.869081892049875
"M7"	0.20721000066914	0.386940734252877	-0.398883736372861
"M8"	-0.660910882613018	0.268383319895548	0.455314009661836
"Not.Correlated"	-0.275522674601838	-0.445586065885072	0.380160116350063
